AGCHM_ENG_NM,LIVESTCK_PISN_RATG_ENG,ECOLGY_PISN_RATG_ENG,livestock_level,ecology_level,SMILES,REFINE_WGS84_LAT,REFINE_WGS84_LOGT,is_valid,PURPOS_NM,DEASEINS_DTLS,CROPS_DTLS
Glyphosate-isopropylamine,Avg Toxicity (III),Rank III,0.1,0.0625,[SMILES_NOT_FOUND: Glyphosate-isopropylamine],37.2672963146,126.9863656963,False,제초제,"관목(개암나무,싸리,아카시아)",비농경지 및 초지조성 예정지
Dimethomorph+Pyraclostrobin,Low Toxicity (IV),Rank I,0.01,1.0,COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl)OC.COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,37.4339530685,127.1701632418,True,살균제,탄저병,고추(단고추류포함)
Boscalid+Kresoxim-methyl,Low Toxicity (IV),Rank II,0.01,0.25,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl.CC1=CC=CC=C1OCC2=CC=CC=C2C(=NOC)C(=O)OC,37.4339530685,127.1701632418,True,살균제,더뎅이병,감귤
Azoxystrobin+Difenoconazole,Low Toxicity (IV),Rank II,0.01,0.25,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC.CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,37.6546825345,126.7726001141,True,살균제,흰무늬병,마(산약)
Emamectin benzoate,Low Toxicity (IV),Rank I,0.01,1.0,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC)OC)OC)C)C.C1=CC=C(C=C1)C(=O)O,37.400611472,127.1069321778,True,살충제,꽃노랑총채벌레,고추(단고추류포함)
Bifenthrin+Chromafenozide,Avg Toxicity (III),Rank I,0.1,1.0,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl.CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C3=C(C=C2)OCCC3)C)C,37.3834691837,127.1226706167,True,살충제,복숭아순나방,사과
Chlorantraniliprole+Dinotefuran,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)Cl.CNC(=N[N+](=O)[O-])NCC1CCOC1,37.303252115,126.7681510928,True,살충제,배추좀나방,배추
Propineb+Pyraclostrobin,Low Toxicity (IV),Rank II,0.01,0.25,CC(CNC(=S)[S-])NC(=S)[S-].[Zn+2].COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,37.303252115,126.7681510928,True,살균제,탄저병,고추(단고추류포함)
Pyribencarb+Tebuconazole,Avg Toxicity (III),Rank II,0.1,0.25,CC1=NC(=CC=C1)CON=C(C)C2=CC(=C(C=C2)Cl)CNC(=O)OC.CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,37.3834691837,127.1226706167,True,살균제,종자소독,벼
Fluxapyroxad+Tiadinil+Fipronil,Low Toxicity (IV),Rank II,0.01,0.25,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F.CC1=C(C=C(C=C1)NC(=O)C2=C(N=NS2)C)Cl.C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,37.3834691837,127.1226706167,True,살균.살충제,세균벼알마름병,벼
Chlorantraniliprole+Triflumezopyrim,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)Cl.C1=CC2=[N+](C(=C(C(=O)N2C=C1)C3=CC(=CC=C3)C(F)(F)F)[O-])CC4=CN=CN=C4,37.3834691837,127.1226706167,True,살충제,벼멸구,벼
Iprodione+Prochloraz manganese,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl.CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.Cl[Mn]Cl,37.3834691837,127.1226706167,True,살균제,탄저병,고추(단고추류포함)
Fludioxonil+Iprodione,Low Toxicity (IV),Rank II,0.01,0.25,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N.CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,37.3834691837,127.1226706167,True,살균제,잿빛곰팡이병,딸기
Oxolinic acid+Validamycin A,Low Toxicity (IV),Rank III,0.01,0.0625,CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O.C1C(C(C(C(C1NC2C=C(C(C(C2O)O)O)CO)O)O)OC3C(C(C(C(O3)CO)O)O)O)CO,37.3834691837,127.1226706167,True,살균제,궤양병,감귤
Pentoxazone+Pretilachlor+Pyrazosulfuron-ethyl,Low Toxicity (IV),Rank III,0.01,0.0625,CC(=C1C(=O)N(C(=O)O1)C2=CC(=C(C=C2F)Cl)OC3CCCC3)C.CCCOCCN(C1=C(C=CC=C1CC)CC)C(=O)CCl.CCOC(=O)C1=C(N(N=C1)C)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,37.303252115,126.7681510928,True,제초제,"일년생잡초(피, 가막사리, 물달개비, 알방동사니, 여뀌바늘, 자귀풀) 및 다년생잡초(벗풀, 올방개, 올챙이고랭이)",기계이앙벼(어린모)
Metam-sodium,Avg Toxicity (III),Rank III,0.1,0.0625,CNC(=S)[S-].[Na+],37.2563658009,127.1651202242,True,살충제,뿌리썩음병,인삼
Acetamiprid+Buprofezin,Avg Toxicity (III),Rank II,0.1,0.25,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl.CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2,37.4339530685,127.1701632418,True,살충제,가루깍지벌레,감귤
Bifenthrin+Indoxacarb,Low Toxicity (IV),Rank I,0.01,1.0,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl.COC(=O)C12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl,37.4339530685,127.1701632418,True,살충제,파밤나방,수박(복수박포함)
Fluxametamide,Low Toxicity (IV),Rank I,0.01,1.0,CC1=C(C=CC(=C1)C2=NOC(C2)(C3=CC(=CC(=C3)Cl)Cl)C(F)(F)F)C(=O)NC=NOC,37.3834773323,127.1227388669,True,살충제,파밤나방,파(쪽파포함)
Fluazifop-P-butyl,Low Toxicity (IV),Rank II,0.01,0.25,CCCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F,37.400611472,127.1069321778,True,제초제,일년생잡초(화본과),마늘
Dazomet,Low Toxicity (IV),Rank III,0.01,0.0625,CN1CN(C(=S)SC1)C,37.3834691837,127.1226706167,True,살충제,흑색썩음균핵병,마늘
Pyrimisulfan+Tefuryltrione,Low Toxicity (IV),Rank III,0.01,0.0625,COCC1=C(C(=CC=C1)C(C2=NC(=CC(=N2)OC)OC)O)NS(=O)(=O)C(F)F.CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl)COCC3CCCO3,37.3038691408,126.7673552476,True,제초제,"일년생잡초 (피, 가막사리, 물달개비, 밭뚝외풀, 여뀌바늘) 및 다년생잡초(벗풀, 올방개, 올챙이고랭이)",기계이앙벼(어린모)
Amitraz+Buprofezin,Avg Toxicity (III),Rank II,0.1,0.25,CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C.CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2,37.400611472,127.1069321778,True,살충제,주머니깍지벌레,감(단감포함)
Azoxystrobin+Propiconazole,Avg Toxicity (III),Rank II,0.1,0.25,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC.CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,37.400611472,127.1069321778,True,살균제,이삭누룩병,벼
Glyphosate-isopropylamine,Low Toxicity (IV),Rank III,0.01,0.0625,[SMILES_NOT_FOUND: Glyphosate-isopropylamine],37.256410123,127.1650450434,False,제초제,일년생잡초 및 숙근잡초,포도
Glyphosate-ammonium,Low Toxicity (IV),Rank III,0.01,0.0625,[SMILES_NOT_FOUND: Glyphosate-ammonium],37.2681405706,126.9870801562,False,제초제,일년생잡초 및 다년생잡초,사과
Bentazone+Pyriminobac-methyl,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O.CC(=NOC)C1=C(C(=CC=C1)OC2=NC(=CC(=N2)OC)OC)C(=O)OC,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피, 물달개비, 밭뚝외풀, 사마귀풀, 알방동사니) 및 다년생잡초(올방개, 올챙이고랭이, 벗풀)",기계이앙벼(어린모)
Deltamethrin,Avg Toxicity (III),Rank I,0.1,1.0,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,37.2821907593,127.1147162837,True,살충제,담배나방,고추(잎)
Dithianon,Avg Toxicity (III),Rank II,0.1,0.25,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N,37.4005799752,127.1068799859,True,살균제,탄저병,복분자
Dimethoate,Avg Toxicity (III),Rank III,0.1,0.0625,CNC(=O)CSP(=S)(OC)OC,37.4005799752,127.1068799859,True,살충제,뿌리응애,백합
Chlorothalonil+Tebuconazole,Low Toxicity (IV),Rank I,0.01,1.0,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl.CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,37.4005799752,127.1068799859,True,살균제,동전마름병,잔디
Bromobutide+Fentrazamide+Pyrazosulfuron-ethyl,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)(C)C(C(=O)NC(C)(C)C1=CC=CC=C1)Br.CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl.CCOC(=O)C1=C(N(N=C1)C)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피, 물달개비, 밭뚝외풀, 알방동사니, 가막사리, 자귀풀) 및 다년생잡초(올방개, 올챙이고랭이, 벗풀)",기계이앙벼(어린모)
Abamectin+Acrinathrin,Avg Toxicity (III),Rank I,0.1,1.0,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O.CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=CC(=O)OC(C(F)(F)F)C(F)(F)F)C,37.303252115,126.7681510928,True,살충제,꽃노랑총채벌레,참외
Benthiavalicarb-isopropyl+Chlorothalonil,Low Toxicity (IV),Rank I,0.01,1.0,CC(C)C(C(=O)NC(C)C1=NC2=C(S1)C=C(C=C2)F)NC(=O)OC(C)C.C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,37.3834691837,127.1226706167,True,살균제,역병,고추(단고추류포함)
Hexaconazole+Tebuconazole,Low Toxicity (IV),Rank III,0.01,0.0625,CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O.CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,37.2736954342,126.9533508895,True,살균제,라이족토니아마름병,잔디
Difenoconazole,Low Toxicity (IV),Rank III,0.01,0.0625,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,37.4339530685,127.1701632418,True,살균제,탄저병,산수유
Glufosinate-ammonium+MCPA,Low Toxicity (IV),Rank III,0.01,0.0625,CP(=O)(CCC(C(=O)[O-])N)O.[NH4+].CC1=C(C=CC(=C1)Cl)OCC(=O)O,37.6546825345,126.7726001141,True,제초제,일년생잡초 및 다년생잡초,비농경지
Isopyrazam,Avg Toxicity (III),Rank I,0.1,1.0,CC(C)C1C2CCC1C3=C2C=CC=C3NC(=O)C4=CN(N=C4C(F)F)C,,,True,살균제,흰가루병,수박(복수박포함)
Oxytetracycline hydrochloride+Streptomycin(sulfate salt),Low Toxicity (IV),Rank III,0.01,0.0625,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl.[SMILES_NOT_FOUND: Streptomycin(sulfate salt)],37.400611472,127.1069321778,False,살균제,무름병,배추
Pyribencarb+Tebuconazole,Avg Toxicity (III),Rank III,0.1,0.0625,CC1=NC(=CC=C1)CON=C(C)C2=CC(=C(C=C2)Cl)CNC(=O)OC.CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,37.3834691837,127.1226706167,True,살균제,검은별무늬병,배
Benfuracarb+Etofenprox,Low Toxicity (IV),Rank I,0.01,1.0,CCOC(=O)CCN(C(C)C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C.CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3,37.3834691837,127.1226706167,True,살충제,거세미나방,고추(단고추류포함)
Ferimzone+Pencycuron,Avg Toxicity (III),Rank III,0.1,0.0625,CC1=CC=CC=C1C(=NNC2=NC(=CC(=N2)C)C)C.C1CCC(C1)N(CC2=CC=C(C=C2)Cl)C(=O)NC3=CC=CC=C3,37.303252115,126.7681510928,True,살균제,잎집무늬마름병(무인항공기),벼
Glufosinate-ammonium+Mecoprop-p,Low Toxicity (IV),Rank III,0.01,0.0625,CP(=O)(CCC(C(=O)[O-])N)O.[NH4+].CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O,37.303252115,126.7681510928,True,제초제,일년생 및 다년생 잡초,사과밭
Tiadinil+Chlorantraniliprole+Triflumezopyrim,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=C(C=C(C=C1)NC(=O)C2=C(N=NS2)C)Cl.CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)Cl.C1=CC2=[N+](C(=C(C(=O)N2C=C1)C3=CC(=CC=C3)C(F)(F)F)[O-])CC4=CN=CN=C4,37.3834691837,127.1226706167,True,살균.살충제,세균벼알마름병,벼
Benzobicyclon+Florpyrauxifen-benzyl+Penoxsulam,Low Toxicity (IV),Rank III,0.01,0.0625,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2=C(C3CCC(C3)C2=O)SC4=CC=CC=C4)Cl.COC1=C(C=CC(=C1F)C2=NC(=C(C(=C2F)N)Cl)C(=O)OCC3=CC=CC=C3)Cl.COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,37.3834691837,127.1226706167,True,제초제,"일년생잡(피,물달개비,밭뚝외풀,알방동사니,여뀌바늘) 및 다년생잡초(올방개,올챙이고랭이, 벗풀)",기계이앙벼(어린모)
1-Methylcyclopropene,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=CC1,37.2913537558,127.1481097299,True,생장조정제,저장성향상,참다래(헤이워드)
Fluquinconazole+Fluxapyroxad,Low Toxicity (IV),Rank II,0.01,0.25,C1=CC2=C(C=C1F)C(=O)N(C(=N2)N3C=NC=N3)C4=C(C=C(C=C4)Cl)Cl.CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,37.5797519232,126.8679487476,True,살균제,흑색썩음균핵병,양파
Picarbutrazox,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)(C)OC(=O)NC1=CC=CC(=N1)CON=C(C2=CC=CC=C2)C3=NN=NN3C,37.3834691837,127.1226706167,True,살균제,노균병,참외
Bacillus subtilis GB-0365,Low Toxicity (IV),Rank III,0.01,0.0625,[SMILES_NOT_FOUND: Bacillus subtilis GB-0365],37.3973399769,127.6900781314,False,살균제,모잘록병,벼
Paenibacillus polymyxa AC-1,Low Toxicity (IV),Rank III,0.01,0.0625,[SMILES_NOT_FOUND: Paenibacillus polymyxa AC-1],37.6776560747,126.8068989384,False,살균제,흰가루병,멜론
Bacillus subtilis CJ-9,Low Toxicity (IV),Rank III,0.01,0.0625,[SMILES_NOT_FOUND: Bacillus subtilis CJ-9],37.6776560747,126.8068989384,False,살균제,잎마름병,마늘
Bacillus subtilis EW42-1,Low Toxicity (IV),Rank III,0.01,0.0625,[SMILES_NOT_FOUND: Bacillus subtilis EW42-1],37.6776560747,126.8068989384,False,살균제,동전마름병,잔디
Glyphosate-potassium,Low Toxicity (IV),Rank III,0.01,0.0625,C(C(=O)O)NCP(=O)(O)[O-].[K+],37.6592444171,126.7673462009,True,제초제,일년생 및 다년생 잡초,비농경지
Chlorpyrifos,Avg Toxicity (III),Rank I,0.1,1.0,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,37.2736954342,126.9533508895,True,살충제,이세리아깍지벌레,감귤
Difenoconazole+Thiophanate-methyl,Low Toxicity (IV),Rank III,0.01,0.0625,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl.COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC,37.2736954342,126.9533508895,True,살균제,탄저병,고추(단고추류포함)
Oxytetracycline calcium alkeyltrimethylammonium+Validamycin A,Low Toxicity (IV),Rank III,0.01,0.0625,[SMILES_NOT_FOUND: Oxytetracycline calcium alkeyltrimethylammonium].C1C(C(C(C(C1NC2C=C(C(C(C2O)O)O)CO)O)O)OC3C(C(C(C(O3)CO)O)O)O)CO,37.303252115,126.7681510928,False,살균제,검은썩음병,녹색꽃양배추(브로콜리)
Pyribencarb,Low Toxicity (IV),Rank II,0.01,0.25,CC1=NC(=CC=C1)CON=C(C)C2=CC(=C(C=C2)Cl)CNC(=O)OC,37.303252115,126.7681510928,True,살균제,"종자소독(키다리병, 도열병, 깨씨무늬병)",벼
Benzobicyclon+Flucetosulfuron+Imazosulfuron,Low Toxicity (IV),Rank III,0.01,0.0625,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2=C(C3CCC(C3)C2=O)SC4=CC=CC=C4)Cl.CC(C(C1=C(C=CC=N1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC)OC(=O)COC)F.COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피,물달개비,밭둑외풀,사마귀풀,가막사리,여뀌바늘,자귀풀) 및 다년생잡초(올방개,올챙이고랭이,벗풀)",기계이앙벼(어린모)
Orysastrobin+Prochloraz manganese+Fipronil,Low Toxicity (IV),Rank II,0.01,0.25,CC(=NOC)C(=NOC)C(=NOCC1=CC=CC=C1C(=NOC)C(=O)NC)C.CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.Cl[Mn]Cl.C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,37.303252115,126.7681510928,True,살균.살충제,애멸구,벼
Lambda-cyhalothrin,Low Toxicity (IV),Rank I,0.01,1.0,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C,37.303252115,126.7681510928,True,살충제,벼룩잎벌레,배추
Metazosulfuron+Tefuryltrione,Low Toxicity (IV),Rank III,0.01,0.0625,CC1CON=C(O1)C2=C(N(N=C2Cl)C)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC.CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl)COCC3CCCO3,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피, 물달개비, 밭둑외풀, 알방동사니, 여뀌바늘) 및 다년생 잡초(올방개, 올챙이고랭이, 벗풀)",기계이앙벼(어린모)
Azimsulfuron+Benzobicyclon+Fenoxasulfone,Low Toxicity (IV),Rank III,0.01,0.0625,CN1C(=C(C=N1)C2=NN(N=N2)C)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC.CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2=C(C3CCC(C3)C2=O)SC4=CC=CC=C4)Cl.CCOC1=C(C=C(C(=C1)Cl)CS(=O)(=O)C2=NOC(C2)(C)C)Cl,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피, 물달개비, 밭둑외풀, 알방동사니, 가막사리, 여뀌바늘) 및 다년생잡초(올방개, 올챙이고랭이, 벗풀, 너도방동사니)",기계이앙벼(어린모)
Fenoxasulfone+Pyrimisulfan,Low Toxicity (IV),Rank III,0.01,0.0625,CCOC1=C(C=C(C(=C1)Cl)CS(=O)(=O)C2=NOC(C2)(C)C)Cl.COCC1=C(C(=CC=C1)C(C2=NC(=CC(=N2)OC)OC)O)NS(=O)(=O)C(F)F,37.3038691408,126.7673552476,True,제초제,"일년생잡초(피, 가막사리, 물달개비, 밭둑외풀, 여뀌바늘) 및 다년생잡초(벗풀, 올방개, 올챙이고랭이)",기계이앙벼(어린모)
Tebuconazole+Thiophanate-methyl,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O.COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC,37.3834691837,127.1226706167,True,살균제,흑색썩음균핵병,양파
indaziflam,Avg Toxicity (III),Rank II,0.1,0.25,CC1CC2=C(C1NC3=NC(=NC(=N3)N)C(C)F)C=C(C=C2)C,37.2681405706,126.9870801562,True,제초제,일년생잡초 및 다년생잡초,잔디밭
Fentrazamide+Pyrimisulfan,Low Toxicity (IV),Rank III,0.01,0.0625,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl.COCC1=C(C(=CC=C1)C(C2=NC(=CC(=N2)OC)OC)O)NS(=O)(=O)C(F)F,37.3038691408,126.7673552476,True,제초제,"일년생잡초(피, 가막사리, 물달개비, 밭둑외풀, 여뀌바늘) 및 다년생잡초(벗풀, 올방개, 올챙이고랭이)",기계이앙벼(어린모)
Abamectin+Spinetoram,Avg Toxicity (III),Rank I,0.1,1.0,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O.CCC1CCCC(C(C(=O)C2=CC3C(C2CC(=O)O1)CCC4C3CC(C4)OC5C(C(C(C(O5)C)OC)OCC)OC)C)OC6CCC(C(O6)C)N(C)C,37.3834691837,127.1226706167,True,살충제,담배가루이,가지
Metaldehyde,Low Toxicity (IV),Rank III,0.01,0.0625,CC1OC(OC(OC(O1)C)C)C,37.6558930852,126.7719705633,True,살충제,달팽이,취나물
Kresoxim-methyl,Low Toxicity (IV),Rank II,0.01,0.25,CC1=CC=CC=C1OCC2=CC=CC=C2C(=NOC)C(=O)OC,37.4339530685,127.1701632418,True,살균제,흰가루병,딸기
emamectin benzoate,Low Toxicity (IV),Rank III,0.01,0.0625,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC)OC)OC)C)C.C1=CC=C(C=C1)C(=O)O,37.6453646902,127.1261723542,True,살충제,파밤나방,파
Tebuconazole+Lambda-cyhalothrin,Low Toxicity (IV),Rank I,0.01,1.0,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O.CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C,37.4338041322,127.1700933423,True,살균.살충제,흑색썩음균핵병,양파
Oxolinic acid+Oxytetracycline dihydrate,Low Toxicity (IV),Rank III,0.01,0.0625,CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O.CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.O.O,37.4339530685,127.1701632418,True,살균제,무름병,배추
Dimethomorph,Low Toxicity (IV),Rank III,0.01,0.0625,COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl)OC,37.2821907593,127.1147162837,True,살균제,역병,고추(단고추류포함)
Bromobutide+oxaziclomefone+Pyrazosulfuron-ethyl,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)(C)C(C(=O)NC(C)(C)C1=CC=CC=C1)Br.CC1=C(C(=O)N(CO1)C(C)(C)C2=CC(=CC(=C2)Cl)Cl)C3=CC=CC=C3.CCOC(=O)C1=C(N(N=C1)C)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,37.303252115,126.7681510928,True,제초제,"일년생잡초(피,가막사리,물달개비,여뀌바늘,밭뚝외풀,자귀풀)  및 다년생잡초(벗풀,올방개,올챙이고랭이)",기계이앙벼(어린모)
fentrazamide+pyrimisulfan,Low Toxicity (IV),Rank III,0.01,0.0625,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl.COCC1=C(C(=CC=C1)C(C2=NC(=CC(=N2)OC)OC)O)NS(=O)(=O)C(F)F,37.303252115,126.7681510928,True,제초제,"일년생잡초(피, 가막사리, 물달개비, 밭뚝외풀, 여뀌바늘)  및 다년생잡초(벗풀, 올방개, 올챙이고랭이)",기계이앙벼(어린모)
